Toplam kelime sayısı: 184384
Tekil kelime sayısı: 19456

Kelime                          Frekans  Most Likely Tag
states                              131  nns-tl
school                              130  nn
too                                 129  ql
work                                129  nn
three                               128  cd
under                               128  in
just                                128  rb
house                               127  nn-tl
much                                126  ap
back                                123  rb
where                               123  wrb
against                             123  in
like                                122  cs
week                                121  nn
here                                120  rb
make                                120  vb
way                                 120  nn
both                                120  abx
being                               120  beg
well                                117  rb
public                              117  jj
how                                 116  wrb
must                                115  md
night                               114  nn
each                                114  dt
day                                 113  nn
own                                 112  jj
government                          111  nn
did                                 110  dod
national                            109  jj
since                               109  cs
off                                 108  rp
get                                 108  vb
because                             105  cs
old                                 105  jj
little                              105  jj
john                                103  np
war                                 103  nn
long                                102  jj
high                                102  jj
very                                101  ql
great                               100  jj
between                              96  in
my                                   96  pp$
through                              96  in
members                              95  nns
while                                95  cs
without                              95  in
kennedy                              95  np
take                                 94  vb
york                                 94  np-tl
during                               94  in
committee                            94  nn
music                                94  nn
another                              93  dt
does                                 93  doz
four                                 92  cd
men                                  92  nns
county                               91  nn-tl
still                                90  rb
might                                89  md
down                                 89  rp
white                                88  jj-tl
west                                 88  jj-tl
never                                87  rb
party                                86  nn
general                              84  jj
right                                84  nn
board                                83  nn
see                                  83  vb
few                                  82  ap
us                                   82  ppo
service                              81  nn
children                             79  nns
university                           79  nn-tl
east                                 79  jj-tl
tax                                  79  nn
young                                78  jj
miss                                 78  np
come                                 78  vb
far                                  78  rb
big                                  78  jj
course                               78  nn
left                                 78  vbn
however                              77  wrb
next                                 77  ap
washington                           77  np
per                                  77  in
life                                 77  nn
bill                                 76  nn
administration                       76  nn
soviet                               76  nn-tl
today                                75  nr
know                                 75  vb
part                                 75  nn
family                               75  nn
came                                 75  vbd
set                                  74  vbn
company                              73  nn
go                                   73  vb
business                             73  nn
better                               73  jjr
show                                 72  nn
!                                    72  .
season                               72  nn
dr.                                  72  nn-tl
meeting                              72  nn
again                                71  rb
same                                 71  ap
days                                 71  nns
himself                              71  ppl
group                                70  nn
best                                 70  jjt
me                                   70  ppo
almost                               70  rb
second                               70  od
called                               69  vbn
several                              69  ap
special                              69  jj
court                                69  nn-tl
million                              69  cd
every                                69  at
'                                    68  '
st.                                  68  nn-tl
club                                 68  nn
place                                67  nn
play                                 67  vb
told                                 67  vbd
1                                    67  cd
use                                  65  nn
give                                 64  vb
country                              64  nn
yesterday                            64  nr
fact                                 64  nn
need                                 63  nn
among                                63  in
case                                 63  nn
given                                63  vbn
car                                  63  nn
federal                              62  jj
law                                  62  nn
present                              61  jj
help                                 61  vb
open                                 61  jj
least                                61  ap
khrushchev                           61  np
small                                60  jj
along                                60  in
political                            60  jj
toward                               60  in
department                           60  nn-tl
james                                60  np
got                                  60  vbd
once                                 60  rb
sunday                               59  nr
ever                                 59  rb
until                                59  cs
put                                  59  vb
communist                            59  nn-tl
asked                                59  vbd
ago                                  59  rb
church                               58  nn-tl
says                                 58  vbz
college                              58  nn
past                                 58  ap
problem                              58  nn
cent                                 58  nn
upon                                 57  in
area                                 57  nn
2                                    57  cd
berlin                               57  np-tl
fine                                 57  jj
secretary                            57  nn-tl
field                                57  nn
game                                 57  nn
center                               56  nn
democratic                           56  jj-tl
number                               56  nn
end                                  56  nn
future                               56  nn
council                              56  nn-tl
become                               56  vb
sales                                56  nns
think                                56  vb
your                                 56  pp$
enough                               56  qlp
yet                                  55  rb
went                                 55  vbd
say                                  55  vb
point                                55  nn
nuclear                              55  jj
matter                               55  nn
election                             55  nn
held                                 55  vbn
five                                 55  cd
early                                55  jj
dallas                               55  np
around                               54  in
hospital                             54  nn
military                             54  jj
less                                 54  ap
monday                               54  nr
congress                             54  np
u.s.                                 54  np
union                                54  nn-tl
chairman                             53  nn
power                                53  nn
labor                                53  nn
done                                 53  vbn
series                               53  nn
question                             53  nn
expected                             52  vbn
north                                52  jj-tl
third                                52  od
j.                                   51  np
a.                                   51  np
local                                51  jj
record                               51  nn
took                                 51  vbd
whether                              51  cs
street                               51  nn-tl
seems                                51  vbz
schools                              51  nns
later                                50  rbr
plan                                 50  nn
texas                                50  np
session                              50  nn
going                                49  vbg
william                              49  np
away                                 49  rb
really                               49  rb
taken                                49  vbn
added                                49  vbd
act                                  49  nn
vote                                 49  nn
although                             49  cs
jr.                                  48  np
saturday                             48  nr
nations                              48  nns
real                                 48  jj
sense                                48  nn
months                               48  nns
start                                48  vb
leaders                              48  nns
often                                48  rb
found                                48  vbn
education                            48  nn
perhaps                              48  rb
league                               48  nn-tl
laos                                 48  np
mantle                               48  np
chicago                              47  np
foreign                              47  jj
march                                47  np
top                                  47  jjs
gave                                 47  vbd
though                               47  cs
british                              47  jj
jury                                 47  nn
possible                             47  jj
action                               47  nn
4                                    47  cd
p.m.                                 46  rb
wife                                 46  nn
recent                               46  jj
association                          46  nn-tl
something                            46  pn
south                                46  jj-tl
making                               46  vbg
reason                               46  nn
rather                               46  in
peace                                46  nn
policy                               46  nn
reported                             46  vbn
aid                                  46  nn
robert                               46  np
increase                             46  nn
pay                                  46  vb
began                                46  vbd
themselves                           46  ppls
late                                 46  jj
why                                  45  wrb
10                                   45  cd
police                               45  nns
audience                             45  nn
system                               45  nn
support                              45  nn
1960                                 45  cd
palmer                               45  np
s.                                   44  np
member                               44  nn
it's                                 44  pps+bez
stage                                44  nn
seem                                 44  vb
tuesday                              44  nr
others                               44  nns
large                                44  jj
organization                         44  nn
whose                                44  wp$
times                                44  nns
cannot                               44  md*
half                                 44  abn
director                             43  nn
international                        43  jj
industry                             43  nn
w.                                   43  np
including                            43  in
total                                43  nn
announced                            43  vbn
major                                43  jj
race                                 43  nn
issue                                43  nn
month                                43  nn
performance                          42  nn
money                                42  nn
already                              42  rb
ball                                 42  nn
don't                                42  do*
received                             42  vbd
history                              42  nn
friday                               42  nr
jazz                                 42  nn
full                                 42  jj
able                                 41  jj
playing                              41  vbg
firm                                 41  nn
judge                                41  nn-tl
hand                                 41  nn
run                                  41  nn
itself                               41  ppl
former                               41  ap
strong                               41  jj
1961                                 41  cd
earlier                              41  rbr
played                               41  vbd
district                             41  nn
problems                             41  nns
community                            41  nn
c.                                   40  np
free                                 40  jj
development                          40  nn
always                               40  rb
used                                 40  vbn
brought                              40  vbd
color                                40  nn
negro                                40  np
musical                              40  jj
things                               40  nns
russian                              40  jj
quite                                39  ql
george                               39  np
look                                 39  vb
room                                 39  nn
republican                           39  np
result                               39  nn
book                                 39  nn
editor                               39  nn-hl
eight                                39  cd
player                               39  np
b.                                   38  np
meet                                 38  vb
office                               38  nn
blue                                 38  jj
economic                             38  jj
order                                38  nn
together                             38  rb
job                                  38  nn
let                                  38  vb
means                                38  nns
whole                                38  jj
probably                             38  rb
six                                  38  cd
team                                 38  nn
richard                              37  np
side                                 37  nn
land                                 37  nn
head                                 37  nn
kind                                 37  nn
report                               37  nn
word                                 37  nn
students                             37  nns
3                                    37  cd
leader                               37  nn
heard                                37  vbn
park                                 36  nn-tl
e.                                   36  np
english                              36  np
town                                 36  nn
words                                36  nns
feel                                 36  vb
needed                               36  vbn
maris                                36  np
mother                               35  nn
evening                              35  nn
death                                35  nn
thing                                35  nn
louis                                35  np
provide                              35  vb
example                              35  nn
name                                 35  nn
serious                              35  jj
apparently                           35  rb
won                                  35  vbd
laws                                 35  nns
fire                                 35  nn
efforts                              35  nns
final                                35  jj
orchestra                            35  nn
hit                                  35  vb
&                                    35  cc-tl
moscow                               35  np
social                               35  jj
equipment                            35  nn
runs                                 35  nns
h.                                   34  np
frank                                34  np
staff                                34  nn
dance                                34  nn
art                                  34  nn
soon                                 34  rb
conference                           34  nn
market                               34  nn
force                                34  nn
official                             34  jj
position                             34  nn
defense                              34  nn
line                                 34  nn
army                                 34  nn
interest                             34  nn
senate                               34  nn-tl
annual                               34  jj
private                              34  jj
single                               34  ap
russia                               34  np
weeks                                34  nns
germany                              34  np
close                                33  jj
friends                              33  nns
recently                             33  rb
move                                 33  vb
effect                               33  nn
effort                               33  nn
project                              33  nn
sound                                33  jj
sometimes                            33  rb
eisenhower                           33  np
french                               33  jj
spirit                               33  nn
working                              33  vbg
amount                               33  nn
d.                                   32  np
decided                              32  vbd
drive                                32  nn
campaign                             32  nn
commission                           32  nn-tl
having                               32  hvg
hall                                 32  nn-tl
summer                               32  nn
keep                                 32  vb
cut                                  32  vbn
lead                                 32  vb
within                               32  in
known                                32  vbn
certain                              32  jj
choice                               32  nn
stand                                32  vb
f.                                   31  np
theater                              31  nn
hotel                                31  nn-tl
london                               31  np
funds                                31  nns
de                                   31  fw-in
stock                                31  nn
areas                                31  nns
situation                            31  nn
want                                 31  vb
lost                                 31  vbn
plans                                31  nns
mayor                                31  nn-tl
sept.                                31  np
georgia                              31  np
according                            31  in
face                                 31  nn
paid                                 31  vbn
form                                 31  nn
programs                             31  nns
budget                               31  nn
co.                                  31  nn-tl
period                               31  nn
8                                    30  cd
daughter                             30  nn
son                                  30  nn
makes                                30  vbz
fall                                 30  nn
health                               30  nn
getting                              30  vbg
baseball                             30  nn
control                              30  nn
instead                              30  rb
statement                            30  nn
spring                               30  nn
air                                  30  nn
15                                   30  cd
nor                                  30  cc
30                                   30  cd
society                              30  nn-tl
style                                30  nn
radio                                30  nn
led                                  30  vbd
20                                   30  cd
billion                              30  cd
miles                                30  nns
central                              30  jj-tl
news                                 29  nn
try                                  29  vb
opening                              29  vbg
25                                   29  cd
above                                29  in
moving                               29  vbg
important                            29  jj
m.                                   29  np
view                                 29  nn
find                                 29  vb
medical                              29  jj
sen.                                 29  nn-tl
christian                            29  jj
minutes                              29  nns
short                                29  jj
am                                   29  bem
doing                                29  vbg
needs                                29  vbz
7                                    29  cd
hope                                 29  nn
china                                29  np
seemed                               29  vbd
victory                              29  nn
can't                                28  md*
thomas                               28  np
research                             28  nn
countries                            28  nns
coming                               28  vbg
living                               28  vbg
actually                             28  rb
demand                               28  nn
services                             28  nns
higher                               28  jjr
believe                              28  vb
further                              28  jjr
nothing                              28  pn
attack                               28  nn
legislature                          28  nn-tl
attorney                             28  nn
persons                              28  nns
designed                             28  vbn
human                                28  jj
letter                               28  nn
turned                               28  vbd
complete                             28  jj
individual                           28  jj
love                                 28  nn
happy                                28  jj
certainly                            28  rb
merely                               28  rb
turn                                 28  vb
either                               28  cc
presented                            28  vbn
care                                 28  nn
hour                                 28  nn
feet                                 28  nns
catholic                             28  jj
live                                 27  vb
taking                               27  vbg
relations                            27  nns
bring                                27  vb
anyone                               27  pn
southern                             27  jj-tl
production                           27  nn
communists                           27  nns-tl
ready                                27  jj
movement                             27  nn
oct.                                 27  np
women                                27  nns
san                                  27  np
change                               27  nn
america                              27  np
reached                              27  vbn
security                             27  nn
necessary                            27  jj
farm                                 27  nn
rule                                 27  nn
trying                               27  vbg
german                               27  jj
neither                              27  cc
games                                27  nns
works                                27  nns
dinner                               26  nn
idea                                 26  nn
18                                   26  cd
chief                                26  jjs
governor                             26  nn
calls                                26  nns
boy                                  26  nn
growth                               26  nn
industrial                           26  jj
doesn't                              26  doz*
thus                                 26  rb
moment                               26  nn
generally                            26  rb
corps                                26  nn-tl
dollars                              26  nns
hardly                               26  rb
lines                                26  nns
evidence                             26  nn
child                                26  nn
authority                            26  nn
road                                 26  nn
opened                               26  vbd
seek                                 26  vb
started                              26  vbd
tried                                26  vbd
person                               26  nn
kept                                 26  vbd
ballet                               26  nn
12                                   26  cd
western                              26  jj-tl
personal                             26  jj
clear                                26  jj
points                               26  nns
tell                                 26  vb
outside                              26  in
tests                                26  nns
charles                              25  np
greater                              25  jjr
especially                           25  rb
afternoon                            25  nn
grand                                25  jj
different                            25  jj
l.                                   25  np
study                                25  nn
construction                         25  nn
picture                              25  nn
cost                                 25  nn
democrats                            25  nps
forces                               25  nns
responsibility                       25  nn
1959                                 25  cd
charter                              25  nn
pressure                             25  nn
assembly                             25  nn-tl
welfare                              25  nn
citizens                             25  nns
age                                  25  nn
became                               25  vbd
wednesday                            25  nr
saw                                  25  vbd
planning                             25  vbg
hours                                25  nns
23                                   25  cd
band                                 25  nn
island                               25  nn-tl
call                                 25  vb
religious                            25  jj
water                                25  nn
natural                              25  jj
wall                                 25  nn
answer                               25  nn
hard                                 25  jj
across                               25  in
low                                  25  jj
anti-trust                           25  jj
husband                              24  nn
opera                                24  nn
henry                                24  np
fair                                 24  jj
near                                 24  in
r.                                   24  np
fund                                 24  nn
post                                 24  nn
sure                                 24  jj
yards                                24  nns
yankees                              24  nps
battle                               24  nn
slow                                 24  jj
leadership                           24  nn
attention                            24  nn
entire                               24  jj
crisis                               24  nn
executive                            24  nn
seen                                 24  vbn
receive                              24  vb
aug.                                 24  np-hl
body                                 24  nn
difficult                            24  jj
martin                               24  np
bob                                  24  np
beautiful                            24  jj
5                                    24  cd
modern                               24  jj
version                              24  nn
except                               24  in
following                            24  vbg
behind                               24  in
los                                  24  np
birds                                24  nns
manager                              24  nn
return                               23  nn
p.                                   23  np
interested                           23  vbn
whom                                 23  wpo
popular                              23  jj
lack                                 23  nn
role                                 23  nn
share                                23  nn
worth                                23  jj
test                                 23  nn
worked                               23  vbn
didn't                               23  dod*
shall                                23  md
avenue                               23  nn-tl
seven                                23  cd
jones                                23  np
plays                                23  nns
nearly                               23  rb
dancing                              23  nn
concert                              23  nn
9                                    23  cd
collection                           23  nn
station                              23  nn
declared                             23  vbd
particularly                         23  rb
willing                              23  jj
fight                                23  nn
agreement                            23  nn
premier                              23  nn-tl
shares                               23  nns
trial                                23  nn
involved                             23  vbn
6                                    23  cd
hughes                               23  np
driver                               23  nn
thursday                             23  nr
portland                             23  np
century                              23  nn
football                             23  nn
stations                             23  nns
tomorrow                             22  nr
junior                               22  jj-tl
student                              22  nn
g.                                   22  np
jack                                 22  np
arts                                 22  nns-tl
song                                 22  nn
singing                              22  nn
using                                22  vbg
building                             22  nn
current                              22  jj
england                              22  np
atmosphere                           22  nn
shown                                22  vbn
closed                               22  vbn
gen.                                 22  nn-tl
comes                                22  vbz
couple                               22  nn
candidate                            22  nn
despite                              22  in
passed                               22  vbn
directed                             22  vbn
everything                           22  pn
basis                                22  nn
followed                             22  vbn
direction                            22  nn
original                             22  jj
simply                               22  rb
girls                                22  nns
senator                              22  nn-tl
straight                             22  jj
television                           22  nn
due                                  22  jj
civil                                22  jj
communism                            22  nn-tl
level                                22  nn
training                             22  nn
nixon                                22  np
nine                                 22  cd
railroad                             22  nn
spent                                22  vbn
cases                                22  nns
workers                              22  nns
americans                            22  nps
u.                                   22  np
feeling                              22  nn
population                           22  nn
angeles                              22  np
god                                  22  np
award                                22  nn
11                                   21  cd
father                               21  nn
met                                  21  vbd
david                                21  np
press                                21  nn
stadium                              21  nn-tl
professional                         21  jj
trade                                21  nn
groups                               21  nns
continued                            21  vbd
smith                                21  np
heart                                21  nn
he's                                 21  pps+bez
film                                 21  nn
takes                                21  vbz
approach                             21  nn
moved                                21  vbd
politics                             21  nn
note                                 21  nn
likely                               21  jj
november                             21  np
additional                           21  jj
charge                               21  nn
effective                            21  jj
continue                             21  vb
officials                            21  nns
property                             21  nn
aj                                   21  nn
hold                                 21  vb
sam                                  21  np
resolution                           21  nn
similar                              21  jj
read                                 21  vb
true                                 21  jj
account                              21  nn
cast                                 21  nn
talk                                 21  vb
usually                              21  rb
dropped                              21  vbn
boys                                 21  nns
brown                                21  np
scene                                21  nn
bills                                21  nns
appeared                             21  vbd
freedom                              21  nn
mitchell                             21  np
common                               21  jj
green                                21  nn
cold                                 21  jj
rules                                21  nns
floor                                21  nn
hear                                 21  vb
addition                             21  nn
providence                           21  np-tl
podger                               21  np
arms                                 20  nns
22                                   20  cd
songs                                20  nns
girl                                 20  nn
light                                20  nn
bit                                  20  nn
parts                                20  nns
jobs                                 20  nns
average                              20  nn
eyes                                 20  nns
information                          20  nn
finally                              20  rb
win                                  20  vb
primary                              20  nn
manner                               20  nn
ask                                  20  vb
pass                                 20  vb
operation                            20  nn
republicans                          20  nps
candidates                           20  nns
leading                              20  vbg
shot                                 20  nn
scheduled                            20  vbn
indicated                            20  vbd
considered                           20  vbn
failed                               20  vbd
attend                               20  vb
sent                                 20  vbd
thought                              20  vbd
voice                                20  nn
break                                20  vb
becomes                              20  vbz
score                                20  nn
chance                               20  nn
running                              20  vbg
francisco                            20  np
14                                   20  cd
kennedy's                            20  np$
guests                               20  nns
hands                                20  nns
cars                                 20  nns
unions                               20  nns
strength                             20  nn
food                                 20  nn
wrong                                20  jj
progress                             20  nn
vital                                20  jj
housing                              20  vbg
