Tag A        Tag B          P(Tag_A, Tag_B)
*            np                    0.006565
*            pp$                   0.006565
*            ql                    0.022976
*            rb                    0.091904
*            to                    0.022976
*            vb                    0.170678
*            vbg                   0.021882
*            vbn                   0.055799
*            wdt                   0.006565
*-hl         nn-hl                 0.010638
*-hl         nns-hl                0.007092
*-hl         vb-hl                 0.007092
,            '                     0.00053
,            (                     0.000212
,            )                     0.000212
,            *                     0.00403
,            ,                     0.000636
,            --                    0.000212
,            ``                    0.020999
,            abl                   0.000212
,            abn                   0.001909
,            abx                   0.002227
,            ap                    0.005409
,            at                    0.097996
,            at-tl                 0.000636
,            be                    0.00053
,            bed                   0.002121
,            bedz                  0.009863
,            bedz*                 0.000212
,            beg                   0.000318
,            ben                   0.000318
,            ber                   0.0035
,            bez                   0.012302
,            bez*                  0.000212
,            cc                    0.109874
,            cc-tl                 0.000318
,            cd                    0.022272
,            cd-tl                 0.002545
,            cs                    0.035953
,            do                    0.00053
,            do*                   0.000212
,            dod                   0.000636
,            dod*                  0.000212
,            doz                   0.000424
,            doz*                  0.000212
,            dt                    0.007742
,            dt+bez                0.000424
,            dti                   0.001591
,            dts                   0.001167
,            dtx                   0.000212
,            ex                    0.005197
,            ex+bez                0.000212
,            fw-at-tl              0.000212
,            fw-cc                 0.000318
,            fw-in                 0.000424
,            hv                    0.0035
,            hvd                   0.002757
,            hvg                   0.00053
,            hvn                   0.000212
,            hvz                   0.006363
,            hvz*                  0.000212
,            in                    0.08336
,            in-tl                 0.000212
,            jj                    0.043165
,            jj-tl                 0.004136
,            jjr                   0.000636
,            jjs                   0.000318
,            jjt                   0.000636
,            md                    0.012727
,            md*                   0.00053
,            nn                    0.043589
,            nn$                   0.000318
,            nn$-tl                0.000318
,            nn-tl                 0.01103
,            nns                   0.020363
,            nns$                  0.000318
,            nns-tl                0.000955
,            np                    0.104995
,            np$                   0.002757
,            np$-tl                0.000212
,            np-tl                 0.003288
,            nps                   0.001273
,            nr                    0.000848
,            nr$                   0.000318
,            nr-tl                 0.000212
,            nrs                   0.000212
,            od                    0.000848
,            od-tl                 0.000848
,            pn                    0.001379
,            pp$                   0.006575
,            pp$$                  0.000212
,            pp$-tl                0.000318
,            ppl                   0.000318
,            pps                   0.036165
,            pps+bez               0.000955
,            pps+md                0.000318
,            ppss                  0.015378
,            ppss+ber              0.000318
,            ppss+hv               0.000424
,            ppss+md               0.000742
,            ql                    0.006894
,            rb                    0.041786
,            rb-tl                 0.000318
,            rbr                   0.000636
,            rp                    0.001485
,            to                    0.006788
,            uh                    0.001061
,            uh-tl                 0.000212
,            vb                    0.009969
,            vb-tl                 0.000424
,            vbd                   0.034362
,            vbg                   0.021211
,            vbn                   0.017711
,            vbn-tl                0.001379
,            vbz                   0.012409
,            wdt                   0.015272
,            wp$                   0.002545
,            wpo                   0.000318
,            wps                   0.019726
,            wql                   0.000212
,            wql-tl                0.000212
,            wrb                   0.016863
,-hl         ap-hl                 0.005556
,-hl         in-hl                 0.005556
,-hl         jj-hl                 0.005556
,-hl         nn-hl                 0.005556
,-hl         nns-hl                0.005556
,-hl         np-hl                 0.202778
,-hl         nps-hl                0.005556
,-hl         pn-hl                 0.005556
,-hl         rb-hl                 0.008333
,-hl         vbn-hl                0.005556
--           (                     0.007186
--           *                     0.007186
--           ``                    0.014371
--           abn                   0.00479
--           abx                   0.002395
--           ap                    0.007186
--           at                    0.104192
--           at-tl                 0.002395
--           bed                   0.00479
--           bedz                  0.007186
--           ber                   0.002395
--           bez                   0.005988
--           cc                    0.094611
--           cd                    0.022754
--           cs                    0.026347
--           dt                    0.013174
--           dti                   0.002395
--           ex                    0.003593
--           hv                    0.002395
--           hvd                   0.003593
--           hvg                   0.002395
--           hvz                   0.003593
--           in                    0.069461
--           jj                    0.02515
--           jj-tl                 0.003593
--           md                    0.008383
--           nn                    0.02515
--           nn-tl                 0.011976
--           nns                   0.023952
--           nns-tl                0.002395
--           np                    0.039521
--           np-tl                 0.003593
--           pn                    0.002395
--           pp$                   0.010778
--           pps                   0.009581
--           ppss                  0.022754
--           ppss+ber              0.002395
--           ppss+md               0.002395
--           ql                    0.009581
--           rb                    0.031138
--           to                    0.003593
--           uh                    0.00479
--           vb                    0.007186
--           vb-tl                 0.002395
--           vbd                   0.011976
--           vbg                   0.013174
--           vbn                   0.009581
--           vbz                   0.007186
--           wdt                   0.009581
--           wps                   0.00479
--           wrb                   0.00479
---hl        ap-hl                 0.007168
.            .                     0.666667
.-hl         .-hl                  0.021201
2            dt                    0.007042
2            nn-tl                 0.007042
2            nns                   0.017606
2%           jj                    0.007168
2-inch       nn                    0.007168
2-story      nn                    0.007168
4            bed                   0.007117
4            cc                    0.007117
4            nn                    0.007117
8            nns                   0.007168
:            '                     0.006383
:            (                     0.006383
:            ``                    0.13617
:            abn                   0.004255
:            ap                    0.008511
:            at                    0.042553
:            cc                    0.010638
:            cd                    0.02766
:            cs                    0.012766
:            do                    0.004255
:            doz                   0.008511
:            dt                    0.010638
:            ex                    0.006383
:            in                    0.019149
:            jj                    0.010638
:            jj-nc                 0.004255
:            nn                    0.012766
:            nn-tl                 0.004255
:            nns                   0.006383
:            np                    0.042553
:            nps                   0.004255
:            pn                    0.004255
:            pp$                   0.010638
:            pps                   0.023404
:            ppss                  0.006383
:            ppss+hv               0.004255
:            ql                    0.004255
:            rb                    0.006383
:            to                    0.006383
:            vb                    0.004255
:            vbg                   0.004255
:            wdt                   0.006383
:            wps+bez               0.004255
:            wrb                   0.006383
:-hl         jj-tl-hl              0.007143
:-hl         nps$-hl               0.007143
:-tl         cd-tl                 0.007168
Begin        '                     0.001817
Begin        ''                    0.001477
Begin        (                     0.004316
Begin        )                     0.003067
Begin        *                     0.002045
Begin        *-hl                  0.000341
Begin        ,                     0.000341
Begin        --                    0.011358
Begin        .                     0.000909
Begin        .-hl                  0.000227
Begin        ``                    0.043276
Begin        abl                   0.000227
Begin        abn                   0.003521
Begin        abn-hl                0.000227
Begin        abx                   0.002612
Begin        ap                    0.012721
Begin        ap-hl                 0.001022
Begin        at                    0.173217
Begin        at-hl                 0.003408
Begin        at-tl                 0.000795
Begin        at-tl-hl              0.000227
Begin        be                    0.000227
Begin        bedz                  0.000341
Begin        beg                   0.000227
Begin        ber                   0.000341
Begin        ber*                  0.000227
Begin        bez                   0.000795
Begin        cc                    0.050091
Begin        cc-hl                 0.000227
Begin        cd                    0.015902
Begin        cd-hl                 0.001704
Begin        cd-tl                 0.000227
Begin        cs                    0.033394
Begin        do                    0.000568
Begin        do*                   0.000341
Begin        dod                   0.000227
Begin        doz                   0.001249
Begin        dt                    0.024421
Begin        dt+bez                0.000568
Begin        dti                   0.004771
Begin        dti-hl                0.000227
Begin        dts                   0.005225
Begin        dtx                   0.000682
Begin        ex                    0.012267
Begin        ex+bez                0.000682
Begin        fw-at-hl              0.000227
Begin        fw-at-tl              0.000341
Begin        fw-nns-tl             0.000341
Begin        hvd                   0.000795
Begin        hvg                   0.000568
Begin        hvz                   0.000227
Begin        in                    0.070195
Begin        in-hl                 0.005111
Begin        in-tl                 0.000227
Begin        jj                    0.015788
Begin        jj-hl                 0.004771
Begin        jj-tl                 0.003294
Begin        jj-tl-hl              0.000682
Begin        jjr                   0.000568
Begin        jjr-hl                0.000568
Begin        jjs                   0.000341
Begin        jjt                   0.000568
Begin        jjt-hl                0.000341
Begin        md                    0.001931
Begin        md*-hl                0.000227
Begin        md-hl                 0.000454
Begin        nn                    0.022831
Begin        nn$                   0.000341
Begin        nn$-hl                0.000341
Begin        nn$-tl                0.000227
Begin        nn-hl                 0.012381
Begin        nn-tl                 0.017378
Begin        nn-tl-hl              0.001477
Begin        nns                   0.020786
Begin        nns$-hl               0.000341
Begin        nns-hl                0.005111
Begin        nns-tl                0.000682
Begin        np                    0.095184
Begin        np$                   0.006361
Begin        np$-tl                0.000341
Begin        np+bez                0.000227
Begin        np-hl                 0.013403
Begin        np-tl                 0.002158
Begin        np-tl-hl              0.000227
Begin        nps                   0.000341
Begin        nps-hl                0.000341
Begin        nr                    0.001817
Begin        nr$                   0.000341
Begin        nr-hl                 0.000227
Begin        od                    0.000909
Begin        od-hl                 0.000227
Begin        pn                    0.003521
Begin        pn+hvz                0.000227
Begin        pn-hl                 0.000227
Begin        pp$                   0.016583
Begin        pp$$                  0.000341
Begin        pp$-hl                0.000227
Begin        pps                   0.075193
Begin        pps+bez               0.002158
Begin        pps+bez-hl            0.000227
Begin        pps+hvz               0.000568
Begin        pps+md                0.000568
Begin        ppss                  0.030668
Begin        ppss+bem              0.001136
Begin        ppss+ber              0.000227
Begin        ppss+hv               0.000795
Begin        ppss+md               0.001136
Begin        ppss-hl               0.000227
Begin        ql                    0.004543
Begin        qlp                   0.000227
Begin        rb                    0.050886
Begin        rb+bez                0.000227
Begin        rb-hl                 0.001022
Begin        rbr                   0.001363
Begin        rp                    0.000454
Begin        to                    0.002953
Begin        uh                    0.001704
Begin        uh-hl                 0.000227
Begin        vb                    0.006588
Begin        vb-hl                 0.001136
Begin        vb-tl                 0.000454
Begin        vbd                   0.001136
Begin        vbd-hl                0.000454
Begin        vbg                   0.010563
Begin        vbg-hl                0.002158
Begin        vbg-tl                0.000227
Begin        vbn                   0.005566
Begin        vbn-hl                0.001477
Begin        vbn-tl                0.000454
Begin        vbn-tl-hl             0.000227
Begin        vbz                   0.000682
Begin        vbz-hl                0.00318
Begin        wdt                   0.005225
Begin        wdt+bez               0.000341
Begin        wdt+bez-hl            0.000227
Begin        wdt-hl                0.000454
Begin        wps                   0.000795
Begin        wql                   0.000454
Begin        wrb                   0.010904
Begin        wrb-hl                0.000341
``           (                     0.001198
``           *                     0.002395
``           .                     0.001198
``           abl                   0.002994
``           abn                   0.006587
``           abn-tl                0.001198
``           abx                   0.001198
``           ap                    0.005389
``           ap-tl                 0.002994
``           at                    0.057485
``           at-hl                 0.001198
``           at-tl                 0.033533
``           be                    0.001198
``           bed                   0.001198
``           bedz                  0.001198
``           beg                   0.001198
``           ber                   0.004192
``           ber*                  0.001198
``           ber-tl                0.001198
``           bez                   0.007186
``           cc                    0.017964
``           cd                    0.007186
``           cd-tl                 0.002994
``           cs                    0.01497
``           cs-tl                 0.001198
``           do                    0.002395
``           do*                   0.002395
``           do-tl                 0.002395
``           dod                   0.001198
``           doz                   0.001796
``           dt                    0.013772
``           dt+bez                0.001796
``           dti                   0.001198
``           dts                   0.003593
``           ex                    0.005389
``           fw-at+np-tl           0.001796
``           fw-at-tl              0.007186
``           fw-nns                0.001198
``           fw-vb                 0.001198
``           fw-vbd-tl             0.001198
``           hv                    0.001198
``           hvd                   0.002395
``           hvz                   0.002395
``           in                    0.028144
``           in-hl                 0.001198
``           in-tl                 0.00479
``           jj                    0.073054
``           jj-hl                 0.001796
``           jj-tl                 0.021557
``           jjr                   0.001796
``           jjr-tl                0.001198
``           jjt                   0.002994
``           md                    0.005389
``           md*                   0.001198
``           md-hl                 0.001198
``           nn                    0.071257
``           nn$                   0.001796
``           nn-nc                 0.002994
``           nn-tl                 0.049102
``           nns                   0.026946
``           nns$                  0.001198
``           nns$-tl               0.001198
``           nns-hl                0.001198
``           nns-tl                0.009581
``           np                    0.047305
``           np$                   0.002395
``           np$-tl                0.001198
``           np-tl                 0.018563
``           nps                   0.001198
``           nr                    0.002395
``           nr-tl                 0.001198
``           od                    0.001198
``           pn                    0.002395
``           pp$                   0.005988
``           pp$-tl                0.001796
``           ppo                   0.001796
``           pps                   0.017365
``           pps+bez               0.005389
``           pps+md                0.001198
``           ppss                  0.066467
``           ppss+bem              0.003593
``           ppss+ber              0.004192
``           ppss+hv               0.004192
``           ppss+hvd              0.001198
``           ppss+md               0.004192
``           ql                    0.011377
``           ql-tl                 0.001198
``           rb                    0.026946
``           rb-tl                 0.002994
``           rbr                   0.001198
``           rp                    0.001198
``           to                    0.008383
``           uh                    0.001198
``           uh-tl                 0.002994
``           vb                    0.025749
``           vb+ppo                0.001198
``           vb-tl                 0.009581
``           vbd                   0.003593
``           vbg                   0.01018
``           vbg-tl                0.003593
``           vbn                   0.010778
``           vbn-hl                0.001198
``           vbn-tl                0.002395
``           vbz                   0.003593
``           vbz-tl                0.001198
``           wdt                   0.006587
``           wdt+bez-tl            0.001198
``           wp$                   0.001198
``           wps-tl                0.001198
``           wql-tl                0.002395
``           wrb                   0.012575
``           wrb+bez-tl            0.002395
``           wrb-tl                0.003593
abl          at                    0.138889
abl          cs                    0.006173
abl          jj                    0.006173
abn          ''                    0.002849
abn          ,                     0.039886
abn          --                    0.002849
abn          .                     0.021368
abn          :                     0.002849
abn          ap                    0.007123
abn          at                    0.102564
abn          bed                   0.002849
abn          bedz                  0.004274
abn          ben                   0.005698
abn          ber                   0.005698
abn          bez                   0.002849
abn          cc                    0.002849
abn          cd                    0.014245
abn          cs                    0.002849
abn          dt                    0.017094
abn          dts                   0.017094
abn          ex                    0.002849
abn          hv                    0.002849
abn          hvd                   0.002849
abn          in                    0.10114
abn          jj                    0.022792
abn          jj-tl                 0.005698
abn          md                    0.004274
abn          nn                    0.039886
abn          nn-tl                 0.004274
abn          nns                   0.091168
abn          np                    0.007123
abn          nps                   0.004274
abn          od                    0.002849
abn          pp$                   0.024217
abn          pps                   0.005698
abn          ppss                  0.007123
abn          ql                    0.005698
abn          rb                    0.014245
abn          rp                    0.004274
abn          vb                    0.018519
abn          vbd                   0.007123
abn          vbg                   0.007123
abn          vbn                   0.009972
abn          vbz                   0.004274
abn          wdt                   0.002849
abn          wpo                   0.002849
abn          wps                   0.005698
abn-hl       in-hl                 0.007168
abn-tl       at-tl                 0.010563
abn-tl       dt-tl                 0.014085
abn-tl       nns$-tl               0.007042
abx          ''                    0.005025
abx          ,                     0.005025
abx          ``                    0.005025
abx          at                    0.035176
abx          bed                   0.01005
abx          ber                   0.01005
abx          cs                    0.005025
abx          hv                    0.01005
abx          in                    0.047739
abx          jj                    0.025126
abx          jj-tl                 0.005025
abx          md                    0.005025
abx          nn                    0.022613
abx          nns                   0.080402
abx          np                    0.020101
abx          pp$                   0.005025
abx          rb                    0.007538
abx          rp                    0.005025
abx          vb                    0.017588
abx          vbd                   0.01005
abx          vbg                   0.005025
abx          vbn                   0.012563
abx          vbz                   0.005025
ap           '                     0.001018
ap           ''                    0.004071
ap           (                     0.001018
ap           *                     0.001018
ap           ,                     0.008142
ap           .                     0.017303
ap           :                     0.001527
ap           ``                    0.001527
ap           abn                   0.001018
ap           ap                    0.012214
ap           at                    0.008142
ap           be                    0.001018
ap           bed                   0.001527
ap           bedz                  0.001018
ap           beg                   0.001018
ap           ber                   0.003053
ap           bez                   0.002545
ap           cc                    0.006107
ap           cd                    0.045293
ap           cs                    0.030025
ap           doz*                  0.001018
ap           dt                    0.002036
ap           dti                   0.001527
ap           dts                   0.001018
ap           ex                    0.001018
ap           hv                    0.001527
ap           hvd                   0.001018
ap           hvz                   0.001527
ap           in                    0.112468
ap           jj                    0.053944
ap           jj-tl                 0.010178
ap           jjr                   0.001527
ap           jjs                   0.001527
ap           jjs-tl                0.001018
ap           jjt                   0.001527
ap           md                    0.002545
ap           nn                    0.256489
ap           nn$                   0.006107
ap           nn-tl                 0.00916
ap           nns                   0.187786
ap           nns-tl                0.001527
ap           np                    0.021883
ap           np-tl                 0.001527
ap           nps                   0.003562
ap           nr                    0.010178
ap           nr$                   0.001018
ap           nrs                   0.001018
ap           pn                    0.001018
ap           pps+bez               0.001018
ap           ppss                  0.002036
ap           ql                    0.003562
ap           rb                    0.006107
ap           to                    0.008651
ap           vb                    0.00458
ap           vbd                   0.001527
ap           vbg                   0.006616
ap           vbn                   0.00458
ap           vbz                   0.001018
ap           wdt                   0.001018
ap           wps                   0.002545
ap           wrb                   0.001018
ap$          nn                    0.007143
ap$          nns                   0.007143
ap-hl        in-hl                 0.010274
ap-hl        jj-hl                 0.006849
ap-hl        nn-hl                 0.030822
ap-hl        nns-hl                0.010274
ap-hl        to-hl                 0.006849
ap-tl        nn-tl                 0.021053
ap-tl        nns-tl                0.007018
ap-tl        uh-tl                 0.007018
at           '                     0.000245
at           *                     0.000184
at           ,                     0.000122
at           --                    0.000122
at           2                     0.000122
at           2-inch                0.000122
at           2-story               0.000122
at           ``                    0.008197
at           abn                   0.000428
at           ap                    0.025875
at           cd                    0.014008
at           cd-tl                 0.000306
at           fw-in                 0.000122
at           fw-jj-tl              0.000184
at           fw-nn                 0.000612
at           fw-nn-tl              0.001223
at           jj                    0.190788
at           jj-tl                 0.021776
at           jjr                   0.005566
at           jjr-tl                0.000184
at           jjs                   0.001957
at           jjs-tl                0.000122
at           jjt                   0.007646
at           nn                    0.434243
at           nn$                   0.013151
at           nn$-tl                0.002753
at           nn-tl                 0.037864
at           nns                   0.066308
at           nns$                  0.001835
at           nns$-tl               0.000918
at           nns-tl                0.006729
at           np                    0.038598
at           np$                   0.000979
at           np-tl                 0.01621
at           nps                   0.008441
at           nps$                  0.000918
at           nr                    0.00263
at           nr$-tl                0.000122
at           nr-tl                 0.00263
at           od                    0.018473
at           od-tl                 0.001346
at           pn                    0.000734
at           pn$                   0.000122
at           ql                    0.014558
at           rb                    0.003793
at           rb-nc                 0.000122
at           rb-tl                 0.000122
at           rbt                   0.000122
at           rp                    0.000122
at           vb                    0.000306
at           vbd                   0.000122
at           vbg                   0.012907
at           vbg-tl                0.000306
at           vbn                   0.011439
at           vbn-tl                0.00734
at           vbz                   0.000122
at-hl        ap-hl                 0.005168
at-hl        jj                    0.005168
at-hl        jj-hl                 0.02584
at-hl        jj-tl                 0.015504
at-hl        nn-hl                 0.157623
at-hl        nn-tl-hl              0.007752
at-hl        nns-hl                0.020672
at-hl        np$-hl                0.005168
at-hl        np-hl                 0.05168
at-hl        nr-tl-hl              0.005168
at-hl        vbg-hl                0.007752
at-hl        vbn-hl                0.005168
at-tl        ap-tl                 0.006623
at-tl        cd-tl                 0.004415
at-tl        fw-nn-tl              0.004415
at-tl        jj-tl                 0.048565
at-tl        nn                    0.006623
at-tl        nn$-tl                0.004415
at-tl        nn-tl                 0.211921
at-tl        nns-tl                0.046358
at-tl        np                    0.00883
at-tl        np-tl                 0.04415
at-tl        nps                   0.004415
at-tl        rb-tl                 0.004415
at-tl        vbg-tl                0.011038
at-tl        vbn-tl                0.011038
at-tl-hl     nn-tl-hl              0.007168
be           ''                    0.001541
be           *                     0.002311
be           ,                     0.007704
be           --                    0.002311
be           .                     0.006934
be           ``                    0.004622
be           abx                   0.001541
be           ap                    0.006934
be           at                    0.095532
be           bez                   0.001541
be           cc                    0.001541
be           cd                    0.006163
be           cs                    0.003852
be           dt                    0.003082
be           dti                   0.007704
be           fw-nn                 0.001541
be           in                    0.032357
be           jj                    0.104777
be           jjr                   0.007704
be           jjs                   0.001541
be           jjt                   0.002311
be           nn                    0.006934
be           nn-tl                 0.001541
be           nns                   0.010015
be           nns-tl                0.001541
be           np                    0.004622
be           np$                   0.001541
be           nps                   0.001541
be           nr                    0.001541
be           pn$                   0.001541
be           pp$                   0.002311
be           ppls                  0.001541
be           pps                   0.001541
be           ql                    0.027735
be           rb                    0.030046
be           rbt                   0.001541
be           rp                    0.003852
be           to                    0.006934
be           vbg                   0.028505
be           vbn                   0.378274
be-hl        jjr-hl                0.007143
be-hl        nn-hl                 0.007143
be-tl        jj-tl                 0.007168
bed          *                     0.019345
bed          ,                     0.008929
bed          .                     0.002976
bed          :                     0.004464
bed          ``                    0.005952
bed          abn                   0.002976
bed          abx                   0.004464
bed          ap                    0.008929
bed          at                    0.029762
bed          beg                   0.00744
bed          cd                    0.014881
bed          cs                    0.002976
bed          dts                   0.002976
bed          ex                    0.002976
bed          in                    0.032738
bed          jj                    0.066964
bed          nn                    0.00744
bed          nn-tl                 0.002976
bed          nns                   0.020833
bed          nns-tl                0.002976
bed          np                    0.017857
bed          np$                   0.002976
bed          pp$                   0.004464
bed          ql                    0.025298
bed          rb                    0.052083
bed          rbr                   0.002976
bed          rp                    0.005952
bed          to                    0.016369
bed          vbg                   0.046131
bed          vbn                   0.203869
bed*         ql                    0.007117
bed*         rb                    0.007117
bed*         vbg                   0.007117
bedz         *                     0.036501
bedz         ,                     0.009642
bedz         --                    0.002066
bedz         .                     0.002066
bedz         :                     0.002066
bedz         ``                    0.006198
bedz         abl                   0.001377
bedz         abn                   0.002755
bedz         ap                    0.002066
bedz         at                    0.123967
bedz         beg                   0.003444
bedz         cc                    0.004132
bedz         cd                    0.01584
bedz         cs                    0.007576
bedz         dt                    0.002755
bedz         dti                   0.001377
bedz         hvn                   0.001377
bedz         in                    0.047521
bedz         jj                    0.068871
bedz         jj-tl                 0.002066
bedz         jjr                   0.001377
bedz         jjt                   0.002755
bedz         nn                    0.013774
bedz         nn-tl                 0.001377
bedz         nns                   0.001377
bedz         np                    0.008264
bedz         np$                   0.003444
bedz         od                    0.002755
bedz         pn                    0.003444
bedz         pp$                   0.00551
bedz         pp$$                  0.001377
bedz         pps                   0.002755
bedz         ql                    0.03168
bedz         rb                    0.078512
bedz         rbr                   0.001377
bedz         rp                    0.006887
bedz         to                    0.016529
bedz         vb                    0.002755
bedz         vbg                   0.050275
bedz         vbn                   0.252755
bedz         vbn-tl                0.001377
bedz         wrb                   0.003444
bedz*        ``                    0.007042
bedz*        at                    0.010563
bedz*        jj                    0.007042
