Tag          Kelime                          P(Kelime, Tag)
cd           126                                0.000353607
cd           127                                0.000353607
cd           12:01                              0.000353607
cd           13                                 0.00636492
cd           13-16                              0.000353607
cd           13-5                               0.000353607
cd           13-8                               0.000353607
cd           130                                0.000707214
cd           1311                               0.000353607
cd           132,000                            0.000353607
cd           133                                0.000353607
cd           135                                0.000353607
cd           14                                 0.00636492
cd           14.2                               0.000353607
cd           1409                               0.000353607
cd           145                                0.000353607
cd           149                                0.000353607
cd           15                                 0.00990099
cd           15-1                               0.000353607
cd           150                                0.000707214
cd           150,000,000                        0.000707214
cd           1500                               0.000353607
cd           151                                0.000353607
cd           154                                0.00106082
cd           16                                 0.00318246
cd           16,000                             0.000353607
cd           160                                0.000353607
cd           160,000                            0.000353607
cd           1600                               0.000353607
cd           1611                               0.000707214
cd           162                                0.000353607
cd           1643                               0.000353607
cd           169                                0.000353607
cd           17                                 0.00318246
cd           17,000                             0.000353607
cd           174                                0.000353607
cd           175                                0.000353607
cd           1776                               0.000353607
cd           1792                               0.000353607
cd           18                                 0.00813296
cd           18,792                             0.000353607
cd           180                                0.00141443
cd           182                                0.000353607
cd           1821                               0.000353607
cd           1825                               0.000353607
cd           1834                               0.000353607
cd           185,000                            0.000353607
cd           1859                               0.000353607
cd           1865                               0.000353607
cd           187.5                              0.000353607
cd           1876                               0.000353607
cd           1881-85                            0.000353607
cd           1883                               0.000353607
cd           1884                               0.000353607
cd           1886                               0.000353607
cd           189                                0.000353607
cd           1891                               0.000353607
cd           1892                               0.000353607
cd           1896                               0.000353607
cd           1897                               0.000353607
cd           1899                               0.000707214
cd           19                                 0.00424328
cd           19,000,000                         0.000353607
cd           19-12                              0.000353607
cd           1900                               0.000353607
cd           1901                               0.000353607
cd           1910                               0.00141443
cd           1910-14                            0.000353607
cd           1912                               0.000707214
cd           1913                               0.000707214
cd           1914                               0.000353607
cd           1915                               0.000353607
cd           1917                               0.00106082
cd           1919                               0.000353607
cd           192                                0.000707214
cd           1920                               0.00176803
cd           1921                               0.000707214
cd           1922                               0.000353607
cd           1923                               0.000707214
cd           1924                               0.000707214
cd           1925                               0.00106082
cd           1927                               0.00247525
cd           1928                               0.00141443
cd           1929                               0.000353607
cd           1930                               0.000707214
cd           1932                               0.000353607
cd           1933                               0.000707214
cd           1934                               0.00106082
cd           1935                               0.00106082
cd           1936                               0.000353607
cd           1937                               0.00106082
cd           1938                               0.000353607
cd           1940                               0.000707214
cd           1941                               0.000707214
cd           1942                               0.000707214
cd           1943                               0.000353607
cd           1944                               0.00141443
cd           1945                               0.00176803
cd           1946                               0.00176803
cd           1946-52                            0.000353607
cd           1947                               0.000353607
cd           1947-49                            0.000353607
cd           1948                               0.00212164
cd           1949                               0.00212164
cd           195                                0.000707214
cd           1950                               0.00176803
cd           1951                               0.00106082
cd           1952                               0.00106082
cd           1953                               0.00282885
cd           1954                               0.00353607
cd           1955                               0.00212164
cd           1956                               0.00318246
cd           1957                               0.00318246
cd           1958                               0.00742574
cd           1958-60                            0.000353607
cd           1959                               0.00884017
cd           1959-60                            0.000353607
cd           1960                               0.0152051
cd           1960-61                            0.000353607
cd           1961                               0.0144979
cd           1961-62                            0.000707214
cd           1962                               0.00318246
cd           1963                               0.00141443
cd           1964                               0.000353607
cd           1966                               0.00106082
cd           1970                               0.000353607
cd           1971                               0.000353607
cd           1976                               0.000353607
cd           1980                               0.00106082
cd           1981                               0.000353607
cd           1986                               0.000707214
cd           1991                               0.000353607
cd           1:48                               0.000353607
cd           2                                  0.0148515
cd           2,000                              0.00106082
cd           2,100                              0.000353607
cd           2,200,000                          0.000353607
cd           2,418                              0.000353607
cd           2,700,877                          0.000353607
cd           2,800                              0.000353607
cd           2,963                              0.000353607
cd           2-and-2                            0.000353607
cd           2.21.6                             0.000353607
cd           20                                 0.0113154
cd           20,000                             0.000353607
cd           200                                0.0053041
cd           200,000                            0.000353607
cd           200-odd                            0.000353607
cd           206                                0.000353607
cd           21                                 0.00388967
cd           21-2                               0.000353607
cd           21-9                               0.000353607
cd           210                                0.000353607
cd           2100                               0.000353607
cd           211                                0.000353607
cd           213                                0.000353607
cd           22                                 0.00601131
cd           22,000                             0.000353607
cd           22-12                              0.000353607
cd           22-24                              0.000353607
cd           22-29                              0.000353607
cd           229                                0.000353607
cd           23                                 0.00848656
cd           23-30                              0.000353607
cd           235                                0.000353607
cd           23a                                0.000353607
cd           24                                 0.00601131
cd           240                                0.000353607
cd           2433                               0.000353607
cd           25                                 0.0106082
cd           25,000                             0.00106082
cd           25-30                              0.000353607
cd           250                                0.000707214
cd           250-275                            0.000353607
cd           26                                 0.00459689
cd           26-28                              0.000353607
cd           27                                 0.00247525
cd           2705                               0.000353607
cd           271                                0.000353607
cd           273                                0.000353607
cd           28                                 0.00282885
cd           28-30                              0.000353607
cd           280                                0.000707214
cd           2809                               0.000353607
cd           281                                0.000353607
cd           285                                0.000353607
cd           29                                 0.00318246
cd           29-5                               0.000353607
cd           2:30                               0.000353607
cd           3                                  0.0106082
cd           3,000                              0.00106082
cd           3,325                              0.000353607
cd           3,399                              0.000353607
cd           3,400                              0.000353607
cd           3-0                                0.000353607
cd           3-10                               0.000353607
cd           3-5                                0.000353607
cd           3-to-3                             0.000353607
cd           3.1                                0.000353607
cd           3.25                               0.000353607
cd           3.28                               0.000353607
cd           3.98                               0.000353607
cd           30                                 0.0113154
cd           30,000                             0.000707214
cd           30,000,000                         0.000353607
cd           30-                                0.000707214
cd           30-30                              0.000353607
cd           30-odd                             0.000707214
cd           300                                0.00247525
cd           300,000                            0.00106082
cd           300-450                            0.000353607
cd           31                                 0.00282885
cd           312                                0.000353607
cd           32                                 0.000707214
cd           32,000                             0.000353607
cd           32,589                             0.000353607
cd           3211                               0.000707214
cd           325                                0.000353607
cd           33                                 0.000707214
cd           330                                0.000353607
cd           34                                 0.000707214
cd           34.7                               0.000353607
cd           343                                0.000353607
cd           35                                 0.00247525
cd           350                                0.000353607
cd           354                                0.000353607
cd           355                                0.000353607
cd           36                                 0.000707214
cd           360                                0.000353607
cd           361                                0.000353607
cd           3646                               0.000353607
cd           367                                0.000353607
cd           37                                 0.000707214
cd           37,000                             0.000353607
cd           37,679                             0.000353607
cd           372                                0.000353607
cd           375                                0.000707214
cd           38                                 0.00106082
cd           38-7                               0.000353607
cd           39                                 0.00106082
cd           3:30                               0.000353607
cd           4                                  0.0127298
cd           4,441                              0.000353607
cd           4,500                              0.000353607
cd           4-                                 0.000353607
cd           4-0                                0.000707214
cd           4-13                               0.000353607
cd           4-for-5                            0.000353607
cd           4.4                                0.000353607
cd           40                                 0.00424328
cd           40,000                             0.00106082
cd           400                                0.00176803
cd           400,000,000                        0.000353607
cd           402                                0.000353607
cd           41                                 0.00282885
cd           41-8                               0.000353607
cd           415                                0.000353607
cd           42                                 0.00141443
cd           420                                0.000707214
cd           43                                 0.000353607
cd           44                                 0.000353607
cd           447                                0.000707214
cd           45                                 0.00247525
cd           450                                0.000353607
cd           450,000                            0.000353607
cd           46                                 0.00176803
cd           469                                0.000353607
cd           47                                 0.00141443
cd           48                                 0.000707214
cd           48,500                             0.000353607
cd           480                                0.000353607
cd           49                                 0.000353607
cd           4911                               0.000353607
cd           495                                0.000353607
cd           4:05                               0.000353607
cd           4:30                               0.00106082
cd           5                                  0.00671853
cd           5,000                              0.00106082
cd           5,500                              0.000353607
cd           5-1                                0.000353607
cd           5-3                                0.000353607
cd           5-4                                0.000353607
cd           5-5                                0.000353607
cd           5-to-1                             0.000353607
cd           5-to-2                             0.000353607
cd           5-to-3                             0.000353607
cd           5.1                                0.000353607
cd           50                                 0.00777935
cd           500                                0.00282885
cd           5000                               0.000353607
cd           5031                               0.000353607
cd           51                                 0.000707214
cd           52                                 0.000707214
cd           526                                0.000353607
cd           54                                 0.000353607
cd           540                                0.000353607
cd           55                                 0.00106082
cd           55,000                             0.000353607
cd           56                                 0.00141443
cd           57                                 0.000707214
cd           5777                               0.000353607
cd           58                                 0.00141443
cd           5835                               0.000353607
cd           59                                 0.000353607
cd           5:30                               0.000353607
cd           6                                  0.00777935
cd           6,000                              0.000353607
cd           6-1                                0.000353607
cd           6-12                               0.000353607
cd           6-3                                0.00106082
cd           6-3-3                              0.000353607
cd           6-5                                0.000353607
cd           6-6                                0.000353607
cd           6-7                                0.000353607
cd           6.5                                0.000353607
cd           6.9                                0.000707214
cd           60                                 0.00601131
cd           60,000                             0.00106082
cd           60-1                               0.000353607
cd           600                                0.000707214
cd           609                                0.000353607
cd           61                                 0.00106082
cd           6124                               0.000353607
cd           63                                 0.000353607
cd           637                                0.000353607
cd           64                                 0.000353607
cd           64-13                              0.000353607
cd           646                                0.000353607
cd           65                                 0.00247525
cd           65,000                             0.000353607
cd           67                                 0.000353607
cd           675                                0.000353607
cd           677                                0.000353607
cd           68                                 0.00176803
cd           687.87                             0.000353607
cd           69                                 0.00212164
cd           6934                               0.000353607
cd           695                                0.000353607
cd           6:15                               0.000353607
cd           6:30                               0.000353607
cd           6:35                               0.000353607
cd           7                                  0.00884017
cd           7,000                              0.000353607
cd           7-6                                0.000353607
cd           7-9                                0.000353607
cd           7.19                               0.000353607
cd           7.5                                0.000353607
cd           70                                 0.00424328
cd           70,000                             0.000353607
cd           700                                0.00141443
cd           7026                               0.000353607
cd           7034                               0.000353607
cd           71                                 0.00141443
cd           72                                 0.00141443
cd           73                                 0.00106082
cd           74                                 0.00106082
cd           75                                 0.00141443
cd           75,000                             0.000353607
cd           750                                0.000353607
cd           7599                               0.000353607
cd           76                                 0.000707214
cd           767                                0.000353607
cd           77                                 0.000353607
cd           770                                0.000353607
cd           7:30                               0.00106082
cd           7:45                               0.000353607
cd           8                                  0.0106082
cd           8,000                              0.000707214
cd           8,100                              0.000353607
cd           8,280                              0.000353607
cd           8,293                              0.000353607
cd           8,500                              0.000353607
cd           8-4                                0.000353607
cd           80                                 0.00282885
cd           800                                0.000707214
cd           81                                 0.000707214
cd           85                                 0.000353607
cd           86                                 0.00141443
cd           869                                0.000353607
cd           87                                 0.000353607
cd           87-31                              0.000353607
cd           88                                 0.000353607
cd           8861                               0.000353607
cd           8:30                               0.00141443
cd           9                                  0.00459689
cd           9,273                              0.000353607
cd           9-6                                0.000353607
cd           9-7                                0.000353607
cd           90                                 0.00106082
cd           90,000                             0.000353607
cd           900                                0.000707214
cd           92                                 0.000707214
cd           923,076                            0.000353607
cd           93                                 0.000353607
cd           949                                0.000353607
cd           95                                 0.000353607
cd           96                                 0.000707214
cd           98                                 0.000353607
cd           9:30                               0.000353607
cd           9:40                               0.000353607
cd           9n                                 0.000353607
cd           billion                            0.0155587
cd           eight                              0.0127298
cd           eighteen                           0.00106082
cd           eleven                             0.00141443
cd           fifteen                            0.00282885
cd           fifty                              0.000353607
cd           fifty-three                        0.000353607
cd           five                               0.0194484
cd           forty-five                         0.000353607
cd           four                               0.0318246
cd           fourteen                           0.00141443
cd           hundred                            0.00318246
cd           ld056                              0.000353607
cd           mid-1960                           0.000353607
cd           million                            0.031471
cd           nine                               0.00990099
cd           nineteen                           0.000353607
cd           ninety-nine                        0.000353607
cd           one                                0.155941
cd           seven                              0.00742574
cd           seventeen                          0.000707214
cd           seventy                            0.000353607
cd           seventy-eight                      0.000353607
cd           six                                0.0127298
cd           sixteen                            0.000707214
cd           sixty                              0.000353607
cd           sixty-five                         0.000353607
cd           sixty-seven                        0.000353607
cd           ten                                0.00601131
cd           thirteen                           0.00176803
cd           thirty-five                        0.000353607
cd           thousand                           0.00212164
cd           three                              0.0438472
cd           twelve                             0.00106082
cd           twenty                             0.00176803
cd           twenty-eight                       0.000353607
cd           twenty-five                        0.00106082
cd           twenty-six                         0.000353607
cd           two                                0.0951202
cd$          1960's                             1
cd-hl        1                                  0.0571429
cd-hl        11                                 0.0142857
cd-hl        14                                 0.0142857
cd-hl        15                                 0.0285714
cd-hl        16                                 0.0142857
cd-hl        17                                 0.1
cd-hl        18                                 0.0571429
cd-hl        19                                 0.0285714
cd-hl        1954                               0.0142857
cd-hl        1986                               0.0142857
cd-hl        2                                  0.0142857
cd-hl        23                                 0.0142857
cd-hl        24                                 0.0428571
cd-hl        26                                 0.0142857
cd-hl        3                                  0.0285714
cd-hl        4                                  0.0428571
cd-hl        5                                  0.0285714
cd-hl        7                                  0.1
cd-hl        8                                  0.0142857
cd-hl        8,280                              0.0142857
cd-hl        9                                  0.114286
cd-hl        five                               0.0285714
cd-hl        four                               0.0285714
cd-hl        one                                0.0285714
cd-hl        seven                              0.0285714
cd-hl        six                                0.0285714
cd-hl        three                              0.0285714
cd-hl        two                                0.0571429
cd-tl        1                                  0.0440252
cd-tl        10                                 0.00628931
cd-tl        101b                               0.00628931
cd-tl        1020                               0.00628931
cd-tl        1044                               0.00628931
cd-tl        110                                0.00628931
cd-tl        111                                0.0314465
cd-tl        116                                0.00628931
cd-tl        12                                 0.0188679
cd-tl        1213-15                            0.00628931
cd-tl        1215                               0.00628931
cd-tl        126                                0.00628931
cd-tl        133                                0.00628931
cd-tl        14                                 0.00628931
cd-tl        142                                0.00628931
cd-tl        1565                               0.00628931
cd-tl        1630                               0.00628931
cd-tl        1643                               0.00628931
cd-tl        1671                               0.00628931
cd-tl        1688                               0.00628931
cd-tl        17                                 0.00628931
cd-tl        1733                               0.00628931
cd-tl        18                                 0.00628931
cd-tl        19                                 0.0125786
cd-tl        1919                               0.00628931
cd-tl        1926                               0.00628931
cd-tl        1960                               0.0125786
cd-tl        198                                0.00628931
cd-tl        2                                  0.0943396
cd-tl        21-22                              0.00628931
cd-tl        211                                0.00628931
cd-tl        214                                0.00628931
cd-tl        215                                0.00628931
cd-tl        22                                 0.0188679
cd-tl        22111                              0.00628931
cd-tl        2269                               0.00628931
cd-tl        2274                               0.00628931
cd-tl        228-229                            0.00628931
cd-tl        229                                0.00628931
cd-tl        23                                 0.0125786
cd-tl        23:34                              0.00628931
cd-tl        25                                 0.00628931
cd-tl        2544                               0.00628931
cd-tl        255                                0.00628931
cd-tl        2731                               0.00628931
cd-tl        2825                               0.00628931
cd-tl        3                                  0.0314465
cd-tl        31                                 0.00628931
cd-tl        31730                              0.00628931
cd-tl        3181                               0.00628931
cd-tl        31978                              0.00628931
cd-tl        32                                 0.00628931
cd-tl        3247                               0.00628931
cd-tl        3300                               0.00628931
cd-tl        34220                              0.00628931
cd-tl        3505o                              0.00628931
cd-tl        357                                0.00628931
cd-tl        4                                  0.0440252
cd-tl        40                                 0.00628931
cd-tl        42                                 0.00628931
cd-tl        48                                 0.00628931
cd-tl        5                                  0.0188679
cd-tl        505                                0.00628931
cd-tl        511                                0.00628931
cd-tl        5155                               0.00628931
cd-tl        53                                 0.0125786
cd-tl        543                                0.00628931
cd-tl        553                                0.00628931
cd-tl        58                                 0.00628931
cd-tl        5847                               0.00628931
cd-tl        6                                  0.00628931
cd-tl        60                                 0.00628931
cd-tl        676                                0.00628931
cd-tl        7                                  0.00628931
cd-tl        704                                0.00628931
cd-tl        734                                0.00628931
cd-tl        77                                 0.00628931
cd-tl        78                                 0.00628931
cd-tl        798                                0.00628931
cd-tl        7a                                 0.00628931
cd-tl        8                                  0.00628931
cd-tl        823                                0.00628931
cd-tl        828                                0.00628931
cd-tl        83                                 0.00628931
cd-tl        9                                  0.0125786
cd-tl        920                                0.00628931
cd-tl        9230                               0.00628931
cd-tl        9329                               0.00628931
cd-tl        95                                 0.00628931
cd-tl        963                                0.00628931
cd-tl        99                                 0.00628931
cd-tl        eight                              0.0188679
cd-tl        four                               0.0251572
cd-tl        fourteen                           0.00628931
cd-tl        nineteen                           0.0251572
cd-tl        one                                0.0188679
cd-tl        six                                0.0125786
cd-tl        ten                                0.00628931
cd-tl        three                              0.0314465
